npe,lnpe,top2disparity,answer_total,answer_aleatoric,answer_epistemic,correctness_total,correctness_aleatoric,correctness_epistemic,verb_confidence,verb_predict_acc,correct_ratio
21.29085813171308,0.13762294740346032,-6.187611966034837,3.138630073533262,2.376705596310561,0.761924477222701,0.9248187049730301,0.7588285365189396,0.16599016845409054,0.62,0.6,0.34
20.923467504834452,0.14357570295058428,-6.075837568798683,2.858171939471839,1.9644420352688179,0.8937299042030211,0.9043814577244937,0.764638417628006,0.13974304009648775,0.68,0.64,0.32
19.909261100438606,0.13091371114469588,-6.4402954628874705,3.0501860034465196,2.1636051556694893,0.8865808477770303,0.7219280948873624,0.6518456548906411,0.07008243999672137,0.8,0.4,0.2
20.464456299563814,0.15364422187887075,-5.644656792205115,2.158057026262659,0.9548339177145447,1.2032231085481144,0.0,0.0,0.0,0.78,0.22,0.0
21.741049658145794,0.17694554913243865,-5.35761153878504,2.725258115688689,1.2494699160317295,1.4757881996569595,0.0,0.0,0.0,0.72,0.28,0.0
25.855695490630083,0.14992898405882746,-5.74506088003127,1.3452357794710608,0.8687037879854083,0.4765319914856525,0.0,0.0,0.0,0.78,0.22,0.0
22.71441933680455,0.15520019185953193,-5.780596548351752,2.9235323234899924,1.1750867163650782,1.7484456071249141,0.0,0.0,0.0,0.74,0.26,0.0
24.635651089304314,0.16121925103301538,-5.560717917759046,2.9390669999078107,1.5477254052800653,1.3913415946277454,0.24229218908241482,0.14438561897747246,0.09790657010494236,0.56,0.44,0.04
25.30702819388457,0.12493389014245918,-5.996147013669303,1.3558310101212372,0.7331442862160541,0.6226867239051831,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.98,0.04,0.02
28.39011448335382,0.14515471757098483,-5.565408932922552,2.9272103113389787,1.9538555350092017,0.973354776329777,0.1414405425418205,0.09379911871785625,0.04764142382396426,1.0,0.02,0.02
25.53250277170513,0.12491269271409991,-6.029954051536651,2.643534320967756,1.7403799664948862,0.90315435447287,0.1414405425418205,0.09379911871785625,0.04764142382396426,1.0,0.02,0.02
27.053533997353526,0.13712282098500403,-5.644236398819893,2.3979257439882464,1.4363694753906573,0.9615562685975891,0.1414405425418205,0.09379911871785625,0.04764142382396426,1.0,0.02,0.02
14.154344670003653,0.08735273737766455,-7.223053779181992,0.6211884030780174,0.3521928094887362,0.26899559358928116,0.4689955935892812,0.2,0.2689955935892812,0.96,0.86,0.9
10.29055102505558,0.07390433802669506,-7.336454530880001,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.1414405425418205,0.09379911871785625,0.04764142382396426,1.0,0.98,0.98
15.349651886277446,0.09339987173091484,-6.997747325359463,1.9756407123411166,0.7057829751310413,1.2698577372100752,0.9814538950336537,0.2813973561535687,0.700056538880085,0.94,0.6,0.58
17.253560670997537,0.10928544235784328,-6.696723129128465,1.156118213778296,0.4341901188909338,0.7219280948873621,0.7219280948873623,0.0,0.7219280948873623,1.0,0.8,0.8
23.1878191084195,0.16591847930828066,-5.278209225776126,1.7890292881602585,1.1228231553233348,0.6662061328369238,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.74,0.28,0.02
19.32208012601498,0.13940250564009699,-5.706484191742979,1.305235779471061,0.9591487851390099,0.34608699433205103,0.1414405425418205,0.09379911871785625,0.04764142382396426,0.86,0.16,0.02
25.61078985275788,0.17997552011692783,-5.079547695588715,2.6304338803266845,1.8195397853120874,0.8108940950145971,0.5293608652873643,0.41444291754146717,0.11491794774589709,0.86,0.18,0.12
23.28240397564528,0.13112435172164047,-6.3151452636351895,2.7615101887362594,1.0947631661615376,1.6667470225747218,0.24229218908241482,0.1875982374357125,0.05469395164670232,0.98,0.06,0.04
