npe,lnpe,top2disparity,answer_entropy,correctness_entropy,correct_ratio
5.095087216882601,0.2578551262530401,-3.3743362552230103,4.401630651745514,0.5855359729115419,0.14049586776859505
2.970844370927,0.2164806058449522,-3.0748769115168173,3.7586636680621504,0.6271441658983906,0.15702479338842976
0.8646003285059999,0.10941080066964762,-3.250747628320829,1.0365077391924942,0.6148227571490692,0.848
0.6182336858415999,0.08399673446911374,-3.2287653582759845,2.0705310762250613,0.9709505944546686,0.6
1.6257738929532999,0.13171541756180988,-4.370829153976652,0.0,0.0,1.0
1.1864610729087002,0.0900384662660868,-5.301827612647941,0.0,0.0,1.0
1.00828895125,0.07650065112657142,-4.4156273062360665,2.2960277320618143,0.8954686411420223,0.312
1.3919085248888001,0.10944804800754249,-3.5638080224448387,1.800795841859164,0.9491240519851774,0.632
2.4651059057558,0.20005211059726058,-4.265088881373435,2.575703243360428,0.24832244463628722,0.04132231404958678
3.0845344557128005,0.25094113823067526,-4.108618016719854,3.2182479418120735,0.2778395739583094,0.048
0.9946092598259998,0.15755359393661905,-4.431316133396715,1.2135050501312865,0.512709142030877,0.11428571428571428
0.7592890849,0.11560236721139683,-4.926025760566381,1.9852069011463676,0.0,0.0
3.54545521334,0.28484441936724614,-2.5716846845105428,1.5260721416582144,0.8079869552387522,0.7520661157024794
4.877169594439801,0.3106976192688075,-2.687051601597503,1.6594830137429515,0.9920686248447118,0.5523809523809524
2.1513497189672006,0.12151766732776018,-4.984769789567728,1.8745449609398177,0.9881108365218301,0.5641025641025641
1.6816244791822001,0.08794158106939928,-5.60651600382519,1.5751671354039654,0.8661236813986259,0.712
0.5311167173542001,0.05901296859491112,-6.404906426960645,0.3379177739929249,0.2778395739583094,0.952
0.556653662342,0.06185040692688889,-5.809159400406445,0.9188628370694213,0.8661236813986259,0.712
0.5596944259562601,0.055360768845785,-6.107013736931992,2.0223090618045356,0.9962572968375276,0.536
0.8044466119438001,0.07773007210325,-6.101118305563417,1.9761498118975165,0.8861256474645222,0.696
1.8768778652904001,0.13252816834284753,-4.240787608568917,2.2823065520907395,0.914324246431782,0.6705882352941176
1.497919815604,0.14784456665819695,-4.0862879609327125,2.0438880029570643,0.9918977415529346,0.5529411764705883
1.051443024204,0.08375489422812822,-4.457933678977,2.3530827464787056,0.2043246709802796,0.032
3.464686399142,0.2522848317978158,-3.24409485733039,2.8313271819588497,0.9821400668060496,0.4214876033057851
1.0199377184,0.18999481813933333,-3.1515546695273335,1.6802672260769989,0.8212809417449863,0.7435897435897436
1.569814918714,0.17138981425405583,-3.874023130336854,1.3650056249285,0.9737774317746632,0.5950413223140496
